x,u
0.000000,0.000080
0.100000,0.000040
0.200000,0.000020
0.300000,0.000009
0.400000,0.000004
0.500000,0.000002
0.600000,0.000001
0.700000,0.000000
0.800000,0.000000
0.900000,0.000000
1.000000,0.000000
1.100000,0.000000
1.200000,0.000000
1.300000,0.000000
1.400000,0.000000
1.500000,0.000000
1.600000,0.000000
1.700000,0.000000
1.800000,0.000000
1.900000,0.000000
2.000000,0.000000
2.100000,0.000000
2.200000,0.000000
2.300000,0.000000
2.400000,0.000000
2.500000,0.000000
2.600000,0.000000
2.700000,0.000000
2.800000,0.000000
2.900000,0.000000
3.000000,0.000000
3.100000,0.000000
3.200000,0.000000
3.300000,0.000000
3.400000,0.000001
3.500000,0.000001
3.600000,0.000003
3.700000,0.000005
3.800000,0.000010
3.900000,0.000019
4.000000,0.000035
4.100000,0.000064
4.200000,0.000114
4.300000,0.000199
4.400000,0.000342
4.500000,0.000577
4.600000,0.000959
4.700000,0.001564
4.800000,0.002508
4.900000,0.003950
5.000000,0.006111
5.100000,0.009284
5.200000,0.013850
5.300000,0.020287
5.400000,0.029171
5.500000,0.041175
5.600000,0.057039
5.700000,0.077538
5.800000,0.103420
5.900000,0.135326
6.000000,0.173691
6.100000,0.218641
6.200000,0.269885
6.300000,0.326630
6.400000,0.387520
6.500000,0.450639
6.600000,0.513560
6.700000,0.573472
6.800000,0.627369
6.900000,0.672284
7.000000,0.705554
7.100000,0.725075
7.200000,0.729523
7.300000,0.718493
7.400000,0.692565
7.500000,0.653245
7.600000,0.602828
7.700000,0.544170
7.800000,0.480420
7.900000,0.414739
8.000000,0.350038
8.100000,0.288776
8.200000,0.232827
8.300000,0.183420
8.400000,0.141162
8.500000,0.106113
8.600000,0.077894
8.700000,0.055828
8.800000,0.039058
8.900000,0.026669
9.000000,0.017769
9.100000,0.011549
9.200000,0.007322
9.300000,0.004527
9.400000,0.002728
9.500000,0.001603
9.600000,0.000918
9.700000,0.000512
9.800000,0.000278
0.000000,0.000147
